"
2017-01-03 17:14:01.229326 ," HCI Command: Vendor (0x3f|0x0157) plen 11 
"
2017-01-03 17:14:01.232295 ," HCI Event: Command Complete (0x0e) plen 7     Vendor (0x3f|0x0157) ncmd 1 
"
2017-01-03 17:14:01.239700 ," HCI Command: Vendor (0x3f|0x0157) plen 16 
"
2017-01-03 17:14:01.242915 ," HCI Event: Command Complete (0x0e) plen 7     Vendor (0x3f|0x0157) ncmd 1 
"
2017-01-03 17:14:01.247796 ," HCI Command: Vendor (0x3f|0x0157) plen 11 
"
2017-01-03 17:14:01.250078 ," HCI Event: Command Complete (0x0e) plen 7     Vendor (0x3f|0x0157) ncmd 1 
"
2017-01-03 17:14:01.253353 ," HCI Command: Vendor (0x3f|0x0157) plen 16 
"
2017-01-03 17:14:01.256766 ," HCI Event: Command Complete (0x0e) plen 7     Vendor (0x3f|0x0157) ncmd 1 
"
2017-01-03 17:14:01.286078 ," HCI Command: Write Current IAC LAP (0x03|0x003a) plen 4     IAC 0x9e8b33 (General Inquiry Access Code) 
"
2017-01-03 17:14:01.290238 ," HCI Event: Command Complete (0x0e) plen 4     Write Current IAC LAP (0x03|0x003a) ncmd 1     status 0x00 
"
2017-01-03 17:14:01.294141 ," HCI Command: Write Scan Enable (0x03|0x001a) plen 1     enable 3 
"
2017-01-03 17:14:01.303897 ," HCI Event: Command Complete (0x0e) plen 4     Write Scan Enable (0x03|0x001a) ncmd 1     status 0x00 
"
2017-01-03 17:14:01.311330 ," HCI Command: Write Scan Enable (0x03|0x001a) plen 1     enable 3 
"
2017-01-03 17:14:01.320614 ," HCI Event: Command Complete (0x0e) plen 4     Write Scan Enable (0x03|0x001a) ncmd 1     status 0x00 
"
2017-01-03 17:14:01.373062 ," HCI Command: Write Scan Enable (0x03|0x001a) plen 1     enable 2 
"
2017-01-03 17:14:01.375862 ," HCI Event: Command Complete (0x0e) plen 4     Write Scan Enable (0x03|0x001a) ncmd 1     status 0x00 
"
2017-01-03 17:14:01.377605 ," HCI Command: Write Scan Enable (0x03|0x001a) plen 1     enable 2 
"
2017-01-03 17:14:01.387061 ," HCI Event: Command Complete (0x0e) plen 4     Write Scan Enable (0x03|0x001a) ncmd 1     status 0x00 
"
2017-01-03 17:14:01.448104 ," HCI Command: Vendor (0x3f|0x0157) plen 3 
"
2017-01-03 17:14:01.450913 ," HCI Event: Command Complete (0x0e) plen 7     Vendor (0x3f|0x0157) ncmd 1 
"
2017-01-03 17:14:01.456512 ," HCI Command: Vendor (0x3f|0x0157) plen 3 
"
2017-01-03 17:14:01.459191 ," HCI Event: Command Complete (0x0e) plen 7     Vendor (0x3f|0x0157) ncmd 1 
"
2017-01-03 17:14:01.466384 ," HCI Command: Vendor (0x3f|0x0157) plen 3 
"
2017-01-03 17:14:01.495715 ," HCI Event: Command Complete (0x0e) plen 7     Vendor (0x3f|0x0157) ncmd 1 
"
2017-01-03 17:14:01.503805 ," HCI Command: LE Set Scan Enable (0x08|0x000c) plen 2     value 0x00 (scanning disabled)     filter duplicates 0x01 (enabled) 
"
2017-01-03 17:14:01.506700 ," HCI Event: Command Complete (0x0e) plen 4     LE Set Scan Enable (0x08|0x000c) ncmd 1     status 0x00 
"
2017-01-03 17:14:01.510863 ," HCI Command: LE Set Scan Parameters (0x08|0x000b) plen 7     type 0x01 (active)     interval 5000.000ms window 5000.000ms     own address: 0x01 (Random) policy: All 
"
2017-01-03 17:14:01.513545 ," HCI Event: Command Complete (0x0e) plen 4     LE Set Scan Parameters (0x08|0x000b) ncmd 1     status 0x00 
"
2017-01-03 17:14:01.516881 ," HCI Command: LE Set Scan Parameters (0x08|0x000b) plen 7     type 0x01 (active)     interval 5000.000ms window 500.000ms     own address: 0x01 (Random) policy: All 
"
2017-01-03 17:14:01.519996 ," HCI Event: Command Complete (0x0e) plen 4     LE Set Scan Parameters (0x08|0x000b) ncmd 1     status 0x00 
"
2017-01-03 17:14:01.527604 ," HCI Command: LE Set Scan Enable (0x08|0x000c) plen 2     value 0x01 (scanning enabled)     filter duplicates 0x00 (disabled) 
"
2017-01-03 17:14:01.531735 ," HCI Event: Command Complete (0x0e) plen 4     LE Set Scan Enable (0x08|0x000c) ncmd 1     status 0x00 
"
2017-01-03 17:14:01.548799 ," HCI Command: Vendor (0x3f|0x0157) plen 2 
"
2017-01-03 17:14:01.550871 ," HCI Event: Command Complete (0x0e) plen 6     Vendor (0x3f|0x0157) ncmd 1 
"
2017-01-03 17:14:01.553458 ," HCI Command: Vendor (0x3f|0x0157) plen 13 
"
2017-01-03 17:14:01.556793 ," HCI Event: Command Complete (0x0e) plen 7     Vendor (0x3f|0x0157) ncmd 1 
